1,バック,大事なもの,いろいろなものが入るバック。@最大12個まで入れられる。
2,MP3プレーヤー,大事なもの,移動中に聞けるやつ。最大1万曲入る。
3,サバイバルナイフ,大事なもの,サバイバルナイフ。@よく切れる。便利。
4,弁当箱,大事なもの,弁当箱。外に出る時に食べ物を入れて行こう。
5,磁石,大事なもの,方位磁石として使っている。
6,証明書(初級者),大事なもの,捕獲員証明書。@「初級者合格」と書かれている。
7,証明書(中級者),大事なもの,捕獲員証明書。@「中級者合格」と書かれている。
8,証明書(上級者),大事なもの,捕獲員証明書。@「上級者合格」と書かれている。
9,証明書(免許皆伝),大事なもの,捕獲員証明書。@「免許皆伝」と書かれている。
10,ツルハシ,大事なもの,鉱石をほるのに使う。@ぜったいかけない「だいやもんど」せい。
11,ヘルメット,大事なもの,これがないと危ない。
12,簡易製錬セット,大事なもの,鉱石をその場で精錬するための道具。
13,簡易裁縫セット,大事なもの,服などの衣類をその場で直すための道具。
14,簡易料理セット,大事なもの,外でもすぐに料理することが出来る道具。
15,捕獲用ボール,消耗品,モンスターを捕獲するためのボール。@一つ300円。
16,頑丈な縄,消耗品,いろんな使い道が出来る縄。@縛れ！その欲望を！
17,火薬,消耗品,着火剤。@いろいろな用途がある。
18,火打石,消耗品,火をつける道具。@最大９回まで使える。
19,うに,消耗品,うに。う～に。うに！
20,爆裂うに,消耗品,「げいじゅつ」は、ばくれつ。
21,爆散うに,消耗品,「ばくさん」、ばんざ～い！
22,ムギ麦,消耗品,地方限定のムギ麦。@これで作るパンはおいしい。
23,黒ムギ麦,消耗品,一部でしか栽培されていないムギ麦。@そこそこ高い値段。
24,純黒ムギ麦,消耗品,黒ムギ麦の中でも少量しか作られないムギ麦。@100gで1M以上とか。。。
25,ぷに玉,消耗品,ぷにから採れる玉状のアイテム。@冷たくて柔らかい。
26,大ぷに玉,消耗品,ぷに玉を集めて大きくしたもの。@おおぷにからも採れる。
